video_id,title,publishedAt,channelTitle,viewCount,likeCount,commentCount,categoryId
YNuotVSgd1E,2025 NFL Draft Day 2 LIVE 🚨 | ESPN NFL 🏈,2025-04-26T03:42:50Z,NFL on ESPN,1463210,8944,657,17
OyyARwvQlu4,HABLA HISPANA VS ESTADOS UNIDOS 🏀,2025-04-25T23:07:20Z,Fede Vigevani,17437468,741844,24708,17
FQ2q0Q9frKE,HELLAVERSE UPDATE,2025-04-25T20:30:07Z,Vivziepop,1809679,330330,27294,1
79tE6EKUusw,"John Cena, Randy Orton Get Personal | FULL SEGMENT | WWE SmackDown Highlights 4/25/25 | WWE on USA",2025-04-26T00:48:50Z,WWE on USA,792338,26382,4281,17
6tNWYBV4xoM,Caleb Hearon Joins Brittany Broski's Royal Court,2025-04-25T17:00:08Z,Royal Court,688069,61144,3506,22
W4aE8of2znM,Young Thug - Money On Money (feat. Future) [Official Video],2025-04-25T04:07:00Z,Young Thug,1943181,162414,15205,10
_ErObDXLGho,NFL Draft Center: Live Coverage of Every Round 1 Pick,2025-04-25T03:54:02Z,NFL,1503284,15260,2528,17
gPmNSgh4nWQ,Stephen A. & Dan Orlovsky DEBATE 🍿 Why did Shedeur NOT get drafted in Round 1? 🤔 | First Take,2025-04-25T15:34:08Z,ESPN,1170975,11580,9498,17
fgvK5S9eS0Y,"Pat McAfee's 2025 Draft Spectacular with Mike McCarthy | April 24th, 2025",2025-04-25T04:13:12Z,The Pat McAfee Show,1577740,18619,2815,17
O-WsQlXaa0E,BAD BUNNY - BOKeTE (Video Oficial) | DeBÍ TiRAR MáS FOToS,2025-04-25T17:00:02Z,Bad Bunny,2148091,167472,8295,10
yaCGMkxZv0k,Megan Thee Stallion - Whenever [Official Video],2025-04-25T04:00:22Z,Megan Thee Stallion,983136,104345,8858,10
-JFW5V4U6bo,Picks 1-10: Jaguars TRADE UP For Travis Hunter | 2025 NFL Draft,2025-04-25T01:55:00Z,NFL,1191570,14770,3779,17
V53tyvVmQDQ,Exclusive: Young Thug Speaks on New Album and Life After Jail | The GQ Video Cover Story,2025-04-25T16:00:04Z,GQ,570114,25053,2023,24
0NDqYZVbpho,Sleep Token - Damocles,2025-04-25T04:00:26Z,SleepTokenVEVO,852571,81238,6927,10
q3Zxohz2gO0,SECRET LEGO BASES...,2025-04-25T15:57:58Z,TD BRICKS,811907,14529,2357,24
WdyFrGMfEkk,i saved the happy ghast in survival minecraft,2025-04-25T12:00:59Z,aCookieGod,1168554,26001,3562,20
Lf566pMNCOw,AMISTA 💔 (VIDEO OFICIAL) | BLESSD ❌ OVY ON THE DRUMS,2025-04-25T01:00:07Z,BLESSD EL BENDITO 💙,2690965,183259,10296,10
NrO2GfhqNxM,Live Service Games - Scott The Woz,2025-04-26T00:00:20Z,Scott The Woz,325926,29007,2543,20
yr7NbcCPYjk,The Summer I Turned Pretty Season 3 - Official Teaser | Prime Video,2025-04-24T15:01:40Z,Prime Video,1730712,59412,4656,24
LEhTlLnOVDU,Young Miko - WASSUP (Official),2025-04-25T00:00:31Z,YoungMikoVEVO,859756,96343,5168,10
PZhJo3ieZJA,John Stamos Hears Papa Roach For The First Time,2025-04-25T12:00:55Z,Drumeo,478259,27238,2731,27
U8QhB8_0t2g,Benson Boone - Mystical Magical (Official Lyric Video),2025-04-24T22:00:07Z,Benson Boone,989768,61459,6051,10
MYdYCTq_ZoY,NRL Match Highlights 2025 | Broncos v Bulldogs | Round 8,2025-04-24T12:10:06Z,NRL - National Rugby League,195310,2412,546,17
wpJYIALczqM,Genshin Impact Version 5.6 Special Program #GenshinImpact #NewVersion #SpecialProgram,2025-04-25T12:00:06Z,Genshin Impact,1089688,63212,5566,20
AIPzbeQMn9Y,"Shaboozey, Jelly Roll - Amen (Visualizer)",2025-04-25T04:00:20Z,ShaboozeyVEVO,303326,16643,800,10
_VneeYsGT9I,"Version 5.6 ""Paralogism"" Trailer | Genshin Impact #NewVersion #Trailer #GenshinImpact #Paralogism",2025-04-25T12:40:00Z,Genshin Impact,673674,50230,3651,20
K9O-7wsI8c0,Cazzu - Inti (Video Oficial),2025-04-25T00:06:00Z,CAZZU Canal Oficial,1119931,188536,12168,10
oFkbsEKaoSE,Predator: Badlands | Teaser Trailer,2025-04-23T16:01:20Z,20th Century Studios,7485776,99393,15480,1
4BQZ-YgVGsk,Chuckyy - My World (Official Music Video),2025-04-23T21:00:07Z,Chuckyy ,1049726,73925,5628,22
z79UOCzPqF4,I Bought a 1970 SUPER BEE PARKED SINCE 1989!,2025-04-24T22:01:11Z,David Freiburger,390329,25850,2210,2
h0m20CpYfV4,kwn - do what i say (Official Video),2025-04-24T16:00:06Z,kwnVEVO,251761,20322,1440,10
1UpoZpMBM9Y,Lorde - What Was That,2025-04-24T04:00:05Z,Lorde,1519573,128249,9964,10
9jVLXXWLbvY,Cazzu - Mala Suerte (Video Oficial),2025-04-25T00:00:09Z,CAZZU Canal Oficial,946986,146423,8740,10
TQR0JzMkzYU,May's MOST ANTICIPATED Games You Won't Want to Miss!,2025-04-24T14:30:29Z,ACG,104257,7534,237,20
bZwg2U7FsGQ,'ALARMING' 🚨 Stephen A. is APPALLED by Shedeur Sanders' draft stock falling to No. 29 😬 | First Take,2025-04-24T15:36:24Z,NFL on ESPN,639233,5627,4650,17
2X_QyoQ2YBQ,Street Fighter 6 - Elena Gameplay Trailer,2025-04-24T22:58:11Z,Street Fighter,531105,31765,3774,20
uQx8jKiIDTI,Wednesday: Season 2 | Official Teaser Trailer | Netflix,2025-04-23T13:00:00Z,Netflix,7426112,307423,13738,24
coOAuK1wzJE,The Biggest Winners And Losers Of The 2025 NFL Draft (Round One),2025-04-25T03:51:02Z,Football Analysis,212483,6020,872,17
5iQ8dpu-W4k,A Video About Digging A Hole,2025-04-24T15:10:54Z,Jacob Geller,414430,29981,2758,20
ka5_ZBEt3wc,$30K vs $100K Custom 350Z: 5-Year Update,2025-04-24T15:01:15Z,Donut,497824,17748,1022,2
TdKLdRHr9rQ,The Hardware Diet,2025-04-23T15:09:17Z,Killdozer,840338,47624,3996,23
KZxoBj4wcvA,10 NEW Costco Deals You NEED To Buy in April 2025,2025-04-23T14:31:57Z,The Deal Guy,739627,39240,726,28
-qP7_ipHd4I,"This CASE Excavator has NO POWER, How Bad Can It Be?",2025-04-23T17:03:50Z,Diesel Creek,485288,57303,1778,2
XTCB0zJLmIg,Loving Mother & Herd Do All They Can to Save Baby Buffalo from Lions,2025-04-22T14:01:37Z,Latest Sightings,1551134,12111,1862,15
WzPHuc1M1Gg,BABY DADDY COOK OFF !! (INTENSE),2025-04-23T23:00:23Z,Angel. G,145973,4324,189,22
hUCUIcLuxd8,"Minecraft, But ALL Damage Is PERMANENT",2025-04-23T16:01:09Z,WadZee,848237,57695,7060,20
lY3MIsmE8mQ,"If You Build It, I'll Destroy It in Wobbly Life!",2025-04-23T20:00:36Z,UnspeakablePlays,252507,6531,551,20
F54_B5vyxvY,We went to Coachella!,2025-04-22T17:57:09Z,Jake Webber,847126,41675,2478,24
PgSLcisNIPg,"I Bought $20,000 of Groceries, Then Gave It All Away",2025-04-23T23:09:43Z,ThatWasEpic,625021,56237,3028,23
i8oqrucfXQo,Subnautica 2 Dev Vlog - Road to Early Access,2025-04-23T16:00:09Z,Subnautica,638209,57205,8342,20
ycB1G6r4df8,GROWING UP IN ROBLOX!,2025-04-23T13:27:07Z,Foltyn,1112065,22353,4061,20
8J646zM7UM8,Heads of State - Official Trailer | Prime Video,2025-04-23T14:00:08Z,Prime Video,2298595,36717,2383,24
MtVWAPCwB38,Tiger Woods and Nelly Korda: How To Score From Inside 100 Yards,2025-04-23T13:45:46Z,TaylorMade Golf,618302,11825,633,17
kk5cymSWmqo,The Elder Scrolls IV: Oblivion Remastered - Official Reveal,2025-04-22T15:19:22Z,Bethesda Softworks,2235180,112537,16918,20
U7NL0gpPLbo,Unc Tried to Bully Me!,2025-04-23T01:36:21Z,Baylen Levine,479515,16947,843,24
Ga67qLve5ko,Ranking The SPICIEST Fast Food (Taste Test),2025-04-23T10:00:27Z,Good Mythical Morning,1336462,35013,948,24
owi2pdiHNdQ,10 ESSENTIAL Tips For Oblivion Remastered!,2025-04-23T16:44:46Z,Ziostorm,131820,3628,406,20
Lolgz_uw6wQ,INTER-MILAN 0-3 | HIGHLIGHTS | Two-Goal Jovic The Hero For Milan | Coppa Italia Frecciarossa 2024/25,2025-04-23T21:26:02Z,Serie A,3175115,52607,2188,17
ymIbZLYBBZU,Bloodhound Q50 - Been Been (Official Music Video),2025-04-22T21:48:43Z,Bloodhound Q50,347717,18732,1264,22
cHKwNuQ2vYE,i bought every ai ad i saw for a week,2025-04-22T18:36:40Z,BENOFTHEWEEK,1201930,66317,4601,20
